creature,pun
Common Butterfly,I caught a common butterfly! They often flutter by!
Yellow Butterfly,I caught a yellow butterfly! Shouldn't all BUTTERflies be yellow?
Tiger Butterfly,I caught a tiger butterfly! I've earned my stripes!
Peacock Butterfly,I caught a peacock butterfly! Now it's my turn to strut my stuff!
Common Bluebottle,I caught a common bluebottle! I'll put it in a rare green jar!
Paper Kite Butterfly,I caught a paper kite butterfly! Do I read it, fly it, or spread it on toast?
Great Purple Emperor,I caught a great purple emperor! Its purple reign is over now!
Monarch Butterfly,I caught a monarch butterfly! Guess the butterflies are a democracy now!
Emperor Butterfly,I caught an emperor butterfly! It's not your average monarch!
Agrias Butterfly,I caught an agrias butterfly! I wonder if it finds me disagrias-able?
Rajah Brooke's Birdwing,I caught a Rajah Brooke's birdwing! Nothing else I'd rajah be doing!
Queen Alexandra's Birdwing,I caught a Queen Alexandra's birdwing! That's a feather in my cap!
Moth,I caught a moth! And I had a ball doing it!
Atlas Moth,I caught an Atlas moth! I bet it never gets lost!
Madagascan Sunset Moth,I caught a Madagascan sunset moth! Wow, you're not from around here!
Long Locust,I caught a long locust! Or, as I call it, a looooocust.
Migratory Locust,I caught a migratory locust! Things just went south for this guy!
Rice Grasshopper,I caught a rice grasshopper! I've been looking for a gluten-free alternative...
Grasshopper,I caught a grasshopper! They're a grass act!
Cricket,I caught a cricket! What a chirp thrill!
Bell Cricket,I caught a bell cricket! It would make a great bellhop!
Mantis,I caught a mantis! Man, 'tis so cool!
Orchid Mantis,I caught an orchid manits! Our friendship is blooming!
Honeybee,I caught a honeybee! Ah, sweet success!
Wasp,I caught a wasp! That's gotta sting...
Brown Cicada,I caught a brown cicada! Now it probably feels blue, cicada.
Robust Cicada,I caught a robust cicada! It DOES seem pretty lively!
Giant Cicada,I caught a giant cicada! I guess it's PRETTY big...
Walker Cicada,I caught a walker cicada! Pffft... I walk all the time and no one calls me "Walker Player".
Evening Cicada,I caught an evening cicada! Better than an odding cicada...
Cicada Shell,I found a cicada shell! I'm glad the little guy came out of it!
Red Dragonfly,I caught a red dragonfly! Didn't even have to roll for initiative!
Darner Dragonfly,I caught a darner dragonfly! It better watch its mouth!
Banded Dragonfly,I did it! Did you see that? I caught a banded dragonfly!
Damselfly,I caught a damselfly! Now it's a damselfly in distress!
Firefly,I caught a firefly! I'm on fire now!
Mole Cricket,I caught a mole cricket! I really dig it!
Pondskater,I caught a pondskater! Wonder if it can do a pond ollie...
Diving Beetle,I caught a diving beetle! Now I'm making a splash!
Giant Water Bug,I caught a giant water bug! It should've stayed in the water!
Stinkbug,I caught a stinkbug! It lives up to its name!
Man-Faced Stink Bug,I caught a man-faced stink bug! Reminds me of my uncle!
Ladybug,I caught a ladybug! Sorry to disturb you, ma'am.
Tiger Beetle,I caught a tiger beetle! I pounced first!
Jewel Beetle,I caught a jewel beetle! It's a real gem!
Violin Beetle,I caught a violin beetle! Apparently I'm as fit as a fiddle!
Citrus Long-Horned Beetle,I caught a citrus long-horned beetle! Orange you happy for me?
Rosalia Batesi Beetle,I caught a rosalia batesi beetle! That's easier to do than say!
Blue Weevil Beetle,I caught a blue weevil beetle! It's the lesser of blue weevils!
Dung Beetle,I caught a dung beetle! This species likes feces!
Earth-Boring Dung Beetle,I caught an earth-boring dung beetle! It's not boring at all!
Scarab Beetle,I caught a scarab beetle! It's just a dung beetle with better hobbies.
Drone Beetle,I caught a drone beetle! Shouldn't you have more propellers?
Goliath Beetle,I caught a goliath beetle! Am I a legend or what?
Saw Stag,I caught a saw stag! Now I can't unsee it!
Miyama Stag,I caught a miyama stag! Its mandibles are jaw-dropping!
Giant Stag,Whoaaa! I caught a giant stag! I'm gonna need way bigger pockets...
Rainbow Stag,I caught a rainbow stag! Its rainbow armor is so shiny!
Cyclommatus Stag,I caught a cyclommatus stag! Those mandibles are a mouthful!
Golden Stag,Wooooow! I caught a golden stag! Does this mean I can retire?
Giraffe Stag,I caught a giraffe stag! Does that make it a longhorn?
Horned Dynastid,I caught a horned dynastid! I'd hate to hear it honk that schnoz!
Horned Atlas,I caught a horned atlas! I didn't even need a map!
Horned Elephant,I caught a horned elephant! I think it's too small to ride...
Horned Hercules,I caught a horned hercules! Guess I was stronger!
Walking Stick,I caught a walking stick! Check out its walking schtick! Look, these are the jokes, OK?
Walking Leaf,I caught a walking leaf! It seems to be taking it in stride!
Bagworm,I caught a bagworm! Guess I'm a bragworm!
Ant,I caught an ant! TELL ME WHERE THE QUEEN IS!
Hermit Crab,I caught a hermit crab! I think it wanted to be left alone!
