Region,Population,Costcos
New York City-Newark-Jersey City,19216182,
Los Angeles-Long Beach-Anaheim CA,13214799,
Chicago-Naperville-Elgin, IL-I-WI,9458539,
Dallas-Fort Worth-Arlington TX,7573136,
Houston-The Woodlands-Sugar Land TX,7066141,
Washington-Arlington-Alexandria,6280487,
Miami-Fort Lauderdale-West Palm Beach FL,6166488,
Philadelphia-Camden-Wilmington,6102434,
Atlanta-Sandy Springs-Alpharetta GA,6020364,
Phoenix-Mesa-Chandler AZ,4948203,
Boston-Cambridge-Newton M-NH,4873019,
San Francisco-Oakland-Berkeley CA,4731803,
Riverside-San Bernardino-Ontario CA,4650631,
Detroit–Warren–Dearborn MI,4319629,
Seattle-Tacoma-Bellevue WA,3979845,17
Minneapolis-St. Paul-Bloomington M-WI,3654908,
San Diego-Chula Vista-Carlsbad CA,3338330,
Tampa-St. Petersburg-Clearwater FL,3194831,
Denver-Aurora-Lakewood CO,2967239,
St. Louis, M-IL,2803228,
Baltimore-Columbia-Towson MD,2800053,
Charlotte-Concord-Gastonia,2636883,
Orlando-Kissimmee-Sanford FL,2608147,
San Antonio-New Braunfels TX,2550960,
Portland-Vancouver-Hillsboro O-WA,2492412,
Sacramento-Roseville-Folsom CA,2363730,
Pittsburgh PA,2317600,
Las Vegas-Henderson-Paradise NV,2266715,
Austin-Round Rock-Georgetown TX,2227083,
Cincinnati, OH-K-IN,2221208,
Kansas City, M-KS,2157990,
Columbus OH,2122271,
Indianapolis-Carmel-Anderson IN,2074537,
Cleveland-Elyria OH,2048449,
San Juan-Bayamón-Caguas PR Metropolitan Statistical Area,2,023,227,
San Jose-Sunnyvale-Santa Clara CA,1990660,
Nashville-Davidson–Murfreesboro–Franklin TN,1934317,
Virginia Beach-Norfolk-Newport News, V-NC,1768901,
Providence-Warwick, R-MA,1624578	1600852,
Milwaukee-Waukesha WI,1575179,
Jacksonville FL,1559514,
Oklahoma City OK,1408950,
Raleigh-Cary NC,1390785,
Memphis, TN-M-AR,1346045,
Richmond VA,1291900	1186501,
New Orleans-Metairie LA,1270530,
Louisville/Jefferson County, K-IN,1265108,
Salt Lake City UT,1232696,
Hartford-East Hartford-Middletown CT,1204877,
Buffalo-Niagara Falls NY,1127983,
Birmingham-Hoover AL,1090435,
Grand Rapids-Kentwood MI,1077370,
Rochester NY,1069644,
Tucson AZ,1047279,
