Rk,Player,First,Last,Games,Type
1,Kevin Love\loveke01,2010-11-22,2011-03-11,53
2,Kevin Garnett\garneke01,2006-02-01,2006-11-06,37
3,John Stockton\stockjo01,1989-02-27,1989-11-29,37
4,Dwight Howard\howardw01,2011-01-21,2011-04-01,33
5,Charles Barkley\barklch01,1986-12-10,1987-02-03,28
6,Blake Griffin\griffbl01,2010-11-20,2011-01-17,27
7,Hakeem Olajuwon\olajuha01,1991-03-14,1991-11-09,26
8,John Stockton\stockjo01,1991-01-29,1991-03-23,25
9,David Lee\leeda02,2009-01-14,2009-03-04,24
10,Russell Westbrook\westbru01,2019-01-06,2019-02-28,23
11,Charles Barkley\barklch01,1987-02-16,1987-04-01,23
12,Joel Embiid\embiijo01,2019-01-21,2019-10-28,22
13,Kevin Willis\willike02,1992-01-24,1992-03-11,21
14,Giannis Antetokounmpo\antetgi01,2020-01-16,2020-08-02,20
15,Nikola Jokić\jokicni01,2020-12-23,2021-01-31,20
16,Dwight Howard\howardw01,2010-01-15,2010-02-26,20
17,John Stockton\stockjo01,1991-04-02,1991-11-15,20
18,Kevin Willis\willike02,1991-11-05,1991-12-10,19
19,Andre Drummond\drumman01,2019-01-25,2019-03-11,19
20,Kevin Garnett\garneke01,2003-02-16,2003-03-21,19
21,Kevin Garnett\garneke01,2004-01-19,2004-02-24,19
22,Kevin Garnett\garneke01,2004-12-10,2005-01-17,19
23,Giannis Antetokounmpo\antetgi01,2019-10-24,2019-11-29,19
24,Charles Barkley\barklch01,1996-01-05,1996-02-25,19
25,Michael Cage\cagemi01,1986-12-10,1987-01-16,19
